瘤痢,瘤痢疙,老矫,扁柯(∑C),碍荐樊(mm),浅加(m/s),嚼档(%),利汲(cm),傈款樊(10盒困)
146,傈林,2022-01-05 03:00,-2.6,,0,55,,9
146,傈林,2022-01-05 04:00,-2.9,,0,57,,9
146,傈林,2022-01-05 05:00,-3.6,,.6,64,,9
146,傈林,2022-01-05 06:00,-3.1,,.5,61,,9
146,傈林,2022-01-05 07:00,-3.3,,1.3,61,,9
146,傈林,2022-01-05 08:00,-3.2,,.5,60,,9
146,傈林,2022-01-05 09:00,-2.4,,.1,57,,9
146,傈林,2022-01-05 10:00,-1.3,,.4,58,,10
146,傈林,2022-01-05 11:00,.3,,.5,47,,10
146,傈林,2022-01-05 12:00,1.1,,1.1,48,,10
146,傈林,2022-01-05 13:00,1.6,,1.6,43,,10
146,傈林,2022-01-05 14:00,2.4,,.6,37,,10
146,傈林,2022-01-05 15:00,2.9,,1.1,39,,10
146,傈林,2022-01-05 16:00,3.1,,.3,37,,10
146,傈林,2022-01-05 17:00,2.6,,.8,42,,10
146,傈林,2022-01-05 18:00,2.4,,.6,43,,10
146,傈林,2022-01-05 19:00,2.2,,.9,43,,10
146,傈林,2022-01-05 20:00,2.2,,0,42,,9
146,傈林,2022-01-05 21:00,1.6,,1.8,46,,8
146,傈林,2022-01-05 22:00,1.3,,.6,46,,9
146,傈林,2022-01-05 23:00,1.2,,.7,48,,9
146,傈林,2022-01-06 00:00,.9,,0,49,,7
146,傈林,2022-01-06 01:00,.5,,0,52,,6
146,傈林,2022-01-06 02:00,-.9,,1.5,61,,7
146,傈林,2022-01-06 03:00,-.9,,.2,59,,3
146,傈林,2022-01-06 04:00,-2,,1.6,66,,0
146,傈林,2022-01-06 05:00,-1.8,,.6,67,,0
146,傈林,2022-01-06 06:00,-2.7,,.7,69,,0
146,傈林,2022-01-06 07:00,-3.1,,.3,75,,0
146,傈林,2022-01-06 08:00,-3.5,,.1,76,,0
146,傈林,2022-01-06 09:00,-1.5,,0,65,,0
146,傈林,2022-01-06 10:00,.4,,.4,57,,0
146,傈林,2022-01-06 11:00,1,,1.7,47,,0
146,傈林,2022-01-06 12:00,2.3,,1.8,38,,0
146,傈林,2022-01-06 13:00,3.5,,2.4,34,,0
146,傈林,2022-01-06 14:00,4.3,,2.5,32,,0
146,傈林,2022-01-06 15:00,5.2,,2.2,32,,0
146,傈林,2022-01-06 16:00,4.7,,1.9,32,,0
146,傈林,2022-01-06 17:00,4.1,,1.3,36,,0
146,傈林,2022-01-06 18:00,2.5,,2.3,52,,0
146,傈林,2022-01-06 19:00,2.1,,2,56,,0
146,傈林,2022-01-06 20:00,1.4,,.8,60,,0
146,傈林,2022-01-06 21:00,.6,,1.1,64,,0
146,傈林,2022-01-06 22:00,-1.7,,1.4,67,,0
146,傈林,2022-01-06 23:00,-1.2,,.4,66,,0
146,傈林,2022-01-07 00:00,-2,,.6,70,,0
146,傈林,2022-01-07 01:00,-2.9,,.5,74,,0
146,傈林,2022-01-07 02:00,-3.7,,.9,77,,0
146,傈林,2022-01-07 03:00,-4.1,,.8,79,,0
146,傈林,2022-01-07 04:00,-4.1,,1,77,,0
146,傈林,2022-01-07 05:00,-5.1,,1.1,81,,0
146,傈林,2022-01-07 06:00,-5.5,,1.5,81,,0
146,傈林,2022-01-07 07:00,-5.4,,1.2,79,,0
146,傈林,2022-01-07 08:00,-6,,1.3,81,,0
146,傈林,2022-01-07 09:00,-3.8,,1,71,,0
146,傈林,2022-01-07 10:00,-1.6,,.8,61,,0
146,傈林,2022-01-07 11:00,1.3,,.3,51,,0
146,傈林,2022-01-07 12:00,2.1,,1.6,44,,0
146,傈林,2022-01-07 13:00,3.5,,1.3,38,,0
146,傈林,2022-01-07 14:00,4.1,,1.5,38,,0
146,傈林,2022-01-07 15:00,4.6,,1.8,34,,0
146,傈林,2022-01-07 16:00,4.4,,2.8,34,,0
146,傈林,2022-01-07 17:00,3.9,,1.7,33,,0
146,傈林,2022-01-07 18:00,2.1,,1.4,45,,0
146,傈林,2022-01-07 19:00,1.1,,.9,55,,0
146,傈林,2022-01-07 20:00,.6,,.7,59,,0
146,傈林,2022-01-07 21:00,-.6,,.6,63,,0
146,傈林,2022-01-07 22:00,-1.7,,1.2,66,,0
146,傈林,2022-01-07 23:00,-2.2,,1.3,66,,0
146,傈林,2022-01-08 00:00,-3.2,,1.2,70,,0
146,傈林,2022-01-08 01:00,-3,,1.3,69,,0
146,傈林,2022-01-08 02:00,-3.4,,1.4,72,,7
146,傈林,2022-01-08 03:00,-4.2,,1.3,75,,0
146,傈林,2022-01-08 04:00,-4.4,,1.3,78,,0
146,傈林,2022-01-08 05:00,-4.6,,1.3,78,,0
146,傈林,2022-01-08 06:00,-4.8,,1.7,77,,0
146,傈林,2022-01-08 07:00,-5.1,,1.7,77,,0
146,傈林,2022-01-08 08:00,-5.5,,1.4,80,,0
146,傈林,2022-01-08 09:00,-2.8,,.7,70,,0
146,傈林,2022-01-08 10:00,-.6,,1.2,62,,0
146,傈林,2022-01-08 11:00,2.3,,.8,48,,0
146,傈林,2022-01-08 12:00,4.1,,.8,44,,0
146,傈林,2022-01-08 13:00,5.6,,1.6,42,,0
146,傈林,2022-01-08 14:00,5.7,,2.8,48,,0
146,傈林,2022-01-08 15:00,6.4,,2,48,,1
146,傈林,2022-01-08 16:00,5.8,,3.3,50,,3
146,傈林,2022-01-08 17:00,5.1,,2.5,55,,7
146,傈林,2022-01-08 18:00,4.8,,1.3,56,,8
146,傈林,2022-01-08 19:00,4.6,,1.1,57,,
146,傈林,2022-01-08 20:00,4.2,,1.4,58,,
146,傈林,2022-01-08 21:00,4.1,,.4,60,,8
146,傈林,2022-01-08 22:00,3.6,,.8,61,,9
146,傈林,2022-01-08 23:00,3.5,,.5,62,,0
146,傈林,2022-01-09 00:00,3.4,,.8,63,,8
146,傈林,2022-01-09 01:00,3.1,,.6,64,,10
146,傈林,2022-01-09 02:00,2.9,,.7,67,,9
146,傈林,2022-01-09 03:00,2.9,,1,65,,9
146,傈林,2022-01-09 04:00,2.6,,.9,69,,8
146,傈林,2022-01-09 05:00,2.2,,1.3,71,,8
146,傈林,2022-01-09 06:00,2.3,,1,69,,9
146,傈林,2022-01-09 07:00,2.6,,.6,68,,8
146,傈林,2022-01-09 08:00,2.4,,.6,69,,9
146,傈林,2022-01-09 09:00,3.2,,.7,67,,9
146,傈林,2022-01-09 10:00,4.3,,.2,65,,9
146,傈林,2022-01-09 11:00,4.6,,.9,66,,8
146,傈林,2022-01-09 12:00,5.9,,.9,63,,8
146,傈林,2022-01-09 13:00,6.8,,.5,56,,9
146,傈林,2022-01-09 14:00,5.9,,2.2,60,,8
146,傈林,2022-01-09 15:00,5.7,,3.3,58,,7
146,傈林,2022-01-09 16:00,5.1,,2.6,58,,4
146,傈林,2022-01-09 17:00,4.3,,2.2,62,,0
146,傈林,2022-01-09 18:00,3.1,,1.7,67,,0
146,傈林,2022-01-09 19:00,2.4,,1.2,71,,0
146,傈林,2022-01-09 20:00,2,,.6,74,,0
146,傈林,2022-01-09 21:00,1.1,,.6,77,,0
146,傈林,2022-01-09 22:00,.1,,1.2,82,,0
146,傈林,2022-01-09 23:00,-.7,,1.4,83,,0
146,傈林,2022-01-10 00:00,-.9,,1.4,84,,0
146,傈林,2022-01-10 01:00,-1,,1.1,85,,0
146,傈林,2022-01-10 02:00,-1.8,,1.3,86,,0
146,傈林,2022-01-10 03:00,-2.2,,1.1,87,,0
146,傈林,2022-01-10 04:00,-1.9,,.9,86,,0
146,傈林,2022-01-10 05:00,-2.8,,1.2,88,,0
146,傈林,2022-01-10 06:00,-2.7,,2,89,,0
146,傈林,2022-01-10 07:00,-2.8,,1.2,89,,5
146,傈林,2022-01-10 08:00,-2.7,,.8,87,,5
146,傈林,2022-01-10 09:00,-1.2,,.6,83,,3
146,傈林,2022-01-10 10:00,.1,,1.1,80,,6
146,傈林,2022-01-10 11:00,1.8,,.4,74,,3
146,傈林,2022-01-10 12:00,3.9,,1.4,66,,2
146,傈林,2022-01-10 13:00,5.2,,1.4,48,,3
146,傈林,2022-01-10 14:00,6.4,,1.4,38,,5
146,傈林,2022-01-10 15:00,6.6,,3.1,37,,4
146,傈林,2022-01-10 16:00,6.4,,2.5,39,,3
146,傈林,2022-01-10 17:00,5.5,,1.4,37,,8
146,傈林,2022-01-10 18:00,4.1,,1.2,59,,8
146,傈林,2022-01-10 19:00,3.5,,1.1,63,,9
146,傈林,2022-01-10 20:00,3.1,,1.2,67,,10
146,傈林,2022-01-10 21:00,2.9,,.8,69,,9
146,傈林,2022-01-10 22:00,2.7,,1.4,68,,10
146,傈林,2022-01-10 23:00,2.7,,1.1,68,,10
146,傈林,2022-01-11 00:00,2,0,1.9,66,,10
146,傈林,2022-01-11 01:00,1.3,,.3,75,,10
146,傈林,2022-01-11 02:00,.5,,1.6,87,,10
146,傈林,2022-01-11 03:00,.4,.2,2.3,91,,10
146,傈林,2022-01-11 04:00,.1,,4.6,76,,10
146,傈林,2022-01-11 05:00,-.2,,3.3,74,,9
146,傈林,2022-01-11 06:00,-1.2,.1,4.3,62,,8
146,傈林,2022-01-11 07:00,-2.8,,4.5,54,,9
146,傈林,2022-01-11 08:00,-3.5,,3.3,58,,3
146,傈林,2022-01-11 09:00,-3.3,,3.6,57,,2
146,傈林,2022-01-11 10:00,-2.6,,3.3,48,,0
146,傈林,2022-01-11 11:00,-2.2,,3.3,43,,2
146,傈林,2022-01-11 12:00,-2,,5.3,41,,3
146,傈林,2022-01-11 13:00,-1.6,,4.1,41,,5
146,傈林,2022-01-11 14:00,-1.3,,4.2,42,,5
146,傈林,2022-01-11 15:00,-1.1,,4.8,43,,4
146,傈林,2022-01-11 16:00,-1.7,,4.5,43,,2
146,傈林,2022-01-11 17:00,-2.5,,4.7,49,,3
146,傈林,2022-01-11 18:00,-3.6,,3.4,53,,0
146,傈林,2022-01-11 19:00,-4.2,,3.5,56,,0
146,傈林,2022-01-11 20:00,-4.9,,2.2,59,,0
146,傈林,2022-01-11 21:00,-5.3,,2.3,60,,0
146,傈林,2022-01-11 22:00,-5.6,,.5,61,,9
146,傈林,2022-01-11 23:00,-5.4,,1.4,61,,7
146,傈林,2022-01-12 00:00,-5.8,,2.2,64,,3
146,傈林,2022-01-12 01:00,-6.3,,2,66,,3
146,傈林,2022-01-12 02:00,-6.6,,1.6,69,,0
146,傈林,2022-01-12 03:00,-7,,1.4,71,,0
146,傈林,2022-01-12 04:00,-7.1,,1.7,70,,0
146,傈林,2022-01-12 05:00,-6.8,,.7,68,,8
146,傈林,2022-01-12 06:00,-6.4,0,.5,65,,9
146,傈林,2022-01-12 07:00,-6.8,,.7,66,,6
146,傈林,2022-01-12 08:00,-7.1,,1.1,68,,3
146,傈林,2022-01-12 09:00,-5.1,,.8,60,,0
146,傈林,2022-01-12 10:00,-4.4,,1.8,59,,0
146,傈林,2022-01-12 11:00,-2.5,,1.6,54,,0
146,傈林,2022-01-12 12:00,-1.6,,1.7,52,,2
146,傈林,2022-01-12 13:00,-1.3,,3.3,51,,2
146,傈林,2022-01-12 14:00,-.6,,1.4,54,,6
146,傈林,2022-01-12 15:00,.8,,3.2,49,,6
146,傈林,2022-01-12 16:00,-.1,,5.5,50,,5
146,傈林,2022-01-12 17:00,-1.2,,4.5,53,,3
146,傈林,2022-01-12 18:00,-2.2,,3.5,54,,0
146,傈林,2022-01-12 19:00,-2.8,,3.2,56,,3
146,傈林,2022-01-12 20:00,-3.2,,2,56,,4
146,傈林,2022-01-12 21:00,-3.7,,1.5,58,,2
146,傈林,2022-01-12 22:00,-4,,.8,60,,9
146,傈林,2022-01-12 23:00,-3.8,,.2,56,,0
146,傈林,2022-01-13 00:00,-4.1,,.9,61,,8
146,傈林,2022-01-13 01:00,-4.9,,.9,63,,8
146,傈林,2022-01-13 02:00,-5,,.4,62,,7
146,傈林,2022-01-13 03:00,-5.1,,1.2,62,,0
146,傈林,2022-01-13 04:00,-4.9,,1,64,,8
146,傈林,2022-01-13 05:00,-5.4,,1.5,62,,0
146,傈林,2022-01-13 06:00,-5.9,,1.5,61,,6
146,傈林,2022-01-13 07:00,-5.6,,1.1,65,,9
146,傈林,2022-01-13 08:00,-5.9,,3.7,80,,9
146,傈林,2022-01-13 09:00,-5.4,.1,.5,83,.2,10
146,傈林,2022-01-13 10:00,-4.2,,1.5,75,.3,2
146,傈林,2022-01-13 11:00,-2.2,,2.6,66,,2
146,傈林,2022-01-13 12:00,-1.9,.1,3.5,54,,5
146,傈林,2022-01-13 13:00,-.8,,5.9,46,,7
146,傈林,2022-01-13 14:00,-.2,,6.3,38,,6
146,傈林,2022-01-13 15:00,-.9,,5.5,41,,3
146,傈林,2022-01-13 16:00,-1.3,,3.6,45,,3
146,傈林,2022-01-13 17:00,-1.4,,5.2,46,,6
146,傈林,2022-01-13 18:00,-2.5,,3.9,51,,0
146,傈林,2022-01-13 19:00,-3.4,,2.3,54,,0
146,傈林,2022-01-13 20:00,-3.8,,2,56,,0
146,傈林,2022-01-13 21:00,-4.3,,2.3,60,,0
146,傈林,2022-01-13 22:00,-4.6,,2.3,58,,0
146,傈林,2022-01-13 23:00,-4.8,,1.1,59,,0
146,傈林,2022-01-14 00:00,-5.4,,1.6,63,,0
146,傈林,2022-01-14 01:00,-5.6,,1.6,61,,0
146,傈林,2022-01-14 02:00,-6.4,,.9,64,,0
146,傈林,2022-01-14 03:00,-5.9,,.6,61,,0
146,傈林,2022-01-14 04:00,-6.4,,1.1,60,,0
146,傈林,2022-01-14 05:00,-6.8,,1.2,65,,0
146,傈林,2022-01-14 06:00,-7.5,,.9,68,,0
146,傈林,2022-01-14 07:00,-7.5,,1.1,70,,0
146,傈林,2022-01-14 08:00,-8.1,,1.6,73,,0
146,傈林,2022-01-14 09:00,-5.3,,.7,62,,0
146,傈林,2022-01-14 10:00,-2.9,,.8,51,,0
146,傈林,2022-01-14 11:00,-1.7,,1.1,47,,0
146,傈林,2022-01-14 12:00,-.7,,1.3,42,,0
146,傈林,2022-01-14 13:00,.2,,1,39,,0
146,傈林,2022-01-14 14:00,.4,,1.5,34,,0
146,傈林,2022-01-14 15:00,1.2,,2.1,31,,0
146,傈林,2022-01-14 16:00,1.8,,1.9,30,,3
146,傈林,2022-01-14 17:00,1.2,,.9,30,,5
146,傈林,2022-01-14 18:00,.4,,.7,33,,5
146,傈林,2022-01-14 19:00,-.1,,.4,34,,7
146,傈林,2022-01-14 20:00,-.9,,.3,40,,9
146,傈林,2022-01-14 21:00,-1.4,,.1,44,,7
146,傈林,2022-01-14 22:00,-1.9,,.7,47,,10
146,傈林,2022-01-14 23:00,-2.3,,1.1,49,,10
146,傈林,2022-01-15 00:00,-2.6,,1.2,51,,9
146,傈林,2022-01-15 01:00,-2.7,,1.3,54,,10
146,傈林,2022-01-15 02:00,-2.5,,.5,53,,10
146,傈林,2022-01-15 03:00,-2.6,,.5,54,,9
146,傈林,2022-01-15 04:00,-2.7,,.6,55,,9
146,傈林,2022-01-15 05:00,-3.1,,.6,57,,9
146,傈林,2022-01-15 06:00,-3.2,,0,58,,7
146,傈林,2022-01-15 07:00,-3.4,,.9,59,,8
146,傈林,2022-01-15 08:00,-3.5,,.6,60,,8
146,傈林,2022-01-15 09:00,-2.9,,.2,59,,8
146,傈林,2022-01-15 10:00,-.7,,.7,51,,8
146,傈林,2022-01-15 11:00,2,,.7,39,,3
146,傈林,2022-01-15 12:00,5.3,,1.2,26,,2
146,傈林,2022-01-15 13:00,7.3,,.6,29,,3
146,傈林,2022-01-15 14:00,6.3,,1.1,32,,9
146,傈林,2022-01-15 15:00,6.5,,1.1,31,,9
146,傈林,2022-01-15 16:00,6.2,,.4,34,,9
146,傈林,2022-01-15 17:00,5.9,,.2,42,,9
146,傈林,2022-01-15 18:00,5.8,,0,42,,9
146,傈林,2022-01-15 19:00,5.2,,.8,43,,0
146,傈林,2022-01-15 20:00,4.4,,1.3,48,,7
146,傈林,2022-01-15 21:00,4.3,,1.1,51,,8
146,傈林,2022-01-15 22:00,3.7,,1.1,56,,8
146,傈林,2022-01-15 23:00,3.3,,1.2,60,,10
146,傈林,2022-01-16 00:00,3.4,,1.2,63,,7
146,傈林,2022-01-16 01:00,4.4,,1.2,66,,0
146,傈林,2022-01-16 02:00,5.7,,2.9,71,,10
146,傈林,2022-01-16 03:00,5.6,0,1.3,72,,10
146,傈林,2022-01-16 04:00,4.1,,3.2,84,,10
146,傈林,2022-01-16 05:00,4.2,,2.5,83,,10
146,傈林,2022-01-16 06:00,3.5,.4,1.7,83,,10
146,傈林,2022-01-16 07:00,3.6,,1.8,80,,10
146,傈林,2022-01-16 08:00,2.7,,2.8,78,,9
146,傈林,2022-01-16 09:00,2,0,3.2,75,,9
146,傈林,2022-01-16 10:00,1.6,,3.6,52,,3
146,傈林,2022-01-16 11:00,3.2,,3.2,56,,4
146,傈林,2022-01-16 12:00,3.1,,4.9,52,,4
146,傈林,2022-01-16 13:00,2.1,,5.8,52,,4
146,傈林,2022-01-16 14:00,2,,4.7,49,,3
146,傈林,2022-01-16 15:00,.8,,4.6,53,,4
146,傈林,2022-01-16 16:00,.7,,4.1,53,,3
146,傈林,2022-01-16 17:00,.6,,4.6,53,,2
146,傈林,2022-01-16 18:00,-.8,,4.1,55,,0
146,傈林,2022-01-16 19:00,-1.4,,1.8,58,,0
146,傈林,2022-01-16 20:00,-1.9,,1.9,58,,0
146,傈林,2022-01-16 21:00,-2,,2,60,,0
146,傈林,2022-01-16 22:00,-3,,1.3,63,,0
146,傈林,2022-01-16 23:00,-3.3,,.9,63,,0
146,傈林,2022-01-17 00:00,-3.6,,1.1,63,,0
146,傈林,2022-01-17 01:00,-3.8,,.8,65,,0
146,傈林,2022-01-17 02:00,-4.4,,1.1,66,,0
146,傈林,2022-01-17 03:00,-4.5,,1.3,68,,0
146,傈林,2022-01-17 04:00,-4.7,,1.1,66,,0
146,傈林,2022-01-17 05:00,-4.5,,1,64,,6
146,傈林,2022-01-17 06:00,-4.9,,1,72,,6
146,傈林,2022-01-17 07:00,-5.2,,1,74,,7
146,傈林,2022-01-17 08:00,-5.3,,1.1,74,,7
146,傈林,2022-01-17 09:00,-2.9,,.9,66,,8
146,傈林,2022-01-17 10:00,-1.9,,1,63,,9
146,傈林,2022-01-17 11:00,-.5,,1.5,55,,3
146,傈林,2022-01-17 12:00,.8,,.9,54,,6
146,傈林,2022-01-17 13:00,1.2,,1.3,56,,6
146,傈林,2022-01-17 14:00,1.6,,2.6,60,,6
146,傈林,2022-01-17 15:00,.8,0,1.5,74,,6
146,傈林,2022-01-17 16:00,2.1,,2.8,69,,3
146,傈林,2022-01-17 17:00,1.6,,3.5,75,,9
146,傈林,2022-01-17 18:00,.9,.2,4.3,84,.4,9
146,傈林,2022-01-17 19:00,.5,,3.8,85,.4,9
146,傈林,2022-01-17 20:00,.2,,2.5,76,.4,9
146,傈林,2022-01-17 21:00,-.5,0,3.9,68,.4,9
146,傈林,2022-01-17 22:00,-1.5,,3.8,65,.4,8
146,傈林,2022-01-17 23:00,-3,,1.7,60,.3,0
146,傈林,2022-01-18 00:00,-4,,2,56,.3,0
146,傈林,2022-01-18 01:00,-4.8,,2.2,57,.3,0
146,傈林,2022-01-18 02:00,-5.2,,1.9,61,.3,0
146,傈林,2022-01-18 03:00,-5.7,,2.7,59,.3,0
146,傈林,2022-01-18 04:00,-6.2,,1,61,.3,0
146,傈林,2022-01-18 05:00,-6.2,,.6,59,.3,0
146,傈林,2022-01-18 06:00,-6.2,,.5,49,.3,0
146,傈林,2022-01-18 07:00,-6,,.3,51,.3,0
146,傈林,2022-01-18 08:00,-6.8,,1.1,62,.3,0
146,傈林,2022-01-18 09:00,-4.7,,.6,52,.3,0
146,傈林,2022-01-18 10:00,-3.8,,1.6,48,,0
146,傈林,2022-01-18 11:00,-2.8,,1.5,47,,0
146,傈林,2022-01-18 12:00,-1.1,,.7,42,,0
146,傈林,2022-01-18 13:00,-.5,,3.3,31,,0
146,傈林,2022-01-18 14:00,1,,1.7,30,,0
146,傈林,2022-01-18 15:00,1.2,,2.5,29,,0
146,傈林,2022-01-18 16:00,1.2,,2.3,29,,0
146,傈林,2022-01-18 17:00,.7,,2.8,29,,0
146,傈林,2022-01-18 18:00,-.3,,1.5,33,,0
146,傈林,2022-01-18 19:00,-.9,,2.3,39,,0
146,傈林,2022-01-18 20:00,-1.2,,.9,50,,0
146,傈林,2022-01-18 21:00,-2.2,,1,56,,0
146,傈林,2022-01-18 22:00,-2.5,,.7,52,,0
146,傈林,2022-01-18 23:00,-3.3,,.1,57,,0
146,傈林,2022-01-19 00:00,-4.3,,.1,61,,0
146,傈林,2022-01-19 01:00,-4.7,,.5,65,,0
146,傈林,2022-01-19 02:00,-5.7,,1.1,66,,0
146,傈林,2022-01-19 03:00,-5.8,,.8,67,,0
146,傈林,2022-01-19 04:00,-6.6,,1.3,69,,0
146,傈林,2022-01-19 05:00,-7,,1.3,70,,0
146,傈林,2022-01-19 06:00,-7.2,,1.1,69,,0
146,傈林,2022-01-19 07:00,-7.7,,1.6,70,,0
146,傈林,2022-01-19 08:00,-7.4,,2.1,66,,0
146,傈林,2022-01-19 09:00,-4.8,,1.1,56,,0
146,傈林,2022-01-19 10:00,-1.8,,.2,49,,0
146,傈林,2022-01-19 11:00,.3,,1,40,,0
146,傈林,2022-01-19 12:00,3.1,,1.1,35,,0
146,傈林,2022-01-19 13:00,4.6,,1.2,32,,0
146,傈林,2022-01-19 14:00,5.4,,2.5,40,,6
146,傈林,2022-01-19 15:00,5,,4.2,45,,9
